id,text
10644,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Outlook Verteiler [COMPANY] aktualisieren und [NAME] hinzufügen       Verteiler [COMPANY]-BS und [COMPANY] aktualisieren und [NAME] entfernen        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Abteilungswechsel!
11214,Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad
383,Outllook - Senden im Auftrag von [EMAIL] nicht mehr möglich
1595,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
638,[TICKET ID] - A Support Ticket was forwarded to your role  - Problem sending emails to address [EMAIL].
779,[TICKET ID] - A Support Ticket was forwarded to your role  - CREACIÓN DE CORREO [NAME]
323,Initiated by GIT: Missing connection to all securitytools on system [SERVER]
1490,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
6042,Instalacion de carpeta J en Red
1222,[TICKET ID] - A Support Ticket was forwarded to you  - Access [EMAIL]
926,[TICKET ID] - New Support Ticket received  - Cannot access files
3762,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.
1257,[TICKET ID] - New Support Ticket received  - Computer troubles
1722,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1743,Shared Mailbox Access - [TICKET ID] - [EMAIL]
1591,access to public folder
744,Shared Mailbox Access - [ADDRESS] - [EMAIL]
3834,[COMPANY] Intranet Editor Rights User  Internal- [TICKET ID]Service Request: Intranet Editor Rights     Set Intranet Editor Rights only user for [NAME] ([COMPANY]A. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]  Cost Center: 22008  Company: [COMPANY] SE & Co. KGaA  Department: [COMPANY]-SC  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Office: [LOCATION]. IG VI. 3.24     Editor Rights required  Publish News :False  Publish News and Content Pages: True   I dont know: False     Requestor: [NAME] ([COMPANY]A. [LOCATION])  Additional information:
1866,Need administrative rights for [LOCATION]
1739,Shared Mailbox Access - [ADDRESS] - [EMAIL]
1717,Shared Mailbox Access - [TICKET ID] - [EMAIL]
1645,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
1817,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
7728,Light User for external - [TICKET ID] - [USERNAME]-[NAME] Service Request: Light User for external  Create Light user for [USERNAME]. Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Geschäftsführer  /  Managing director  Company: [COMPANY] GmbH  Department: SB-SP  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Feb  4 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:  [NAME] wird die Leererkennung im Regal realisieren.
1812,Shared Mailbox Access - [ADDRESS] - [EMAIL]
1999,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
753,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME] ([COMPANY]. [LOCATION])  
1421,Problem with my user
11138,access to s3 bucket
3695,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47003  Function: Praktikantin  Company: Praktikantin  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:
6767,Preciso que libere acesso à pasta J/RH
762,[TICKET ID] - New Support Ticket received  - Request access to [NAME]s email  
1408,Create AD group for [COMPANY] Scandinavia for myHR
1069,[TICKET ID] - New Support Ticket received  - Instalação software para ponto eletrônico
1040,[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Adobe Flash on [SERVER]
10198,No funciona SkypeBuenas tardes.  Me dejo de funcionar el Slype desde el viernes.  Gracias.
2405,missing emailsMissing emails from 9/2018 to 9/2017              [Image]
14236,Erro pacote office
7780,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  //[COMPANY]up.ads.dir/[COMPANY]ein01-ems01/[LOCATION]/Groups/ESBA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
2010,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1587,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1479,Create Shared Mailbox - [EMAIL] - [EMAIL]
378,[TICKET ID] - A Support Ticket was forwarded to your role  - Expend service account permissons for [SOFTWARE] AD access
2461,Unable to access missed conversations in OutlookHello.  When I click on a missed conversation in Outlook. it will not open it and give an error message.  See attachment....  Thanks!
2077,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION])
2084,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2039,File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION])
1640,Fileserver Migration[LOCATION](From [SERVER] to [SERVER])
1510,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
1535,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
13767,Initiated by GIT: Missing connection to AV on system [SERVER]
1436,create new OUs North_America and South_America
9734,Users [USERNAME] and Yock need help with VPN
1733,Shared Mailbox Access - [PASSWORD] - [EMAIL]
1798,[COMPANY] - Security - Standard Change Add Member to Group Permission for mtx_service
621,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])
2243,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
1634,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. External)
12152,Guest wireless issues
1631,Temporärer Zugang zur Mailgruppe [COMPANY] Standort Einbeck um eine wichtige Mitteilung zur Datennutzung zu verschicken
1508,Shared Mailbox Access - [TICKET ID] - [EMAIL]
7098,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/MA55/      please create the folder and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
1871,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
6031,impressora com erro
675,[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1088,[TICKET ID] - This Support Ticket was reopened  - Acesso a Intranet [COMPANY]
9559,Missing connection to McAfee on system [SERVER]
8479,Liberação acesso a pasta
6623,Impressora Zebra nao está imprimindo.
10296,Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41601  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13415 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  2 2019 12:00AM     Additional information:   [NAME] beginnt seine Arbeit erst am 02.01.19. Lieferungend avor bitte an [NAME] oder [NAME] [NAME]ke
1158,[TICKET ID] - New Support Ticket received  -[LOCATION]on samsung J7 not working. Lost Login credentials. 
1382,[TICKET ID] - New Support Ticket received  - Problema Computador da [NAME]
2296,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1692,Shared Mailbox Access - [ADDRESS] - [EMAIL]
9128,We need the [NAME] to be connected to the R Drive
880,[TICKET ID] - New Support Ticket received  - Moorhead printer
1015,[TICKET ID] - New Support Ticket received  - cambio formato de excel en archivos
1608,User [USERNAME] löschen
2297,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2014,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1544,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2314,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1723,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1401,Acceso a Carpetas
1036,[TICKET ID] - New Support Ticket received  - Cadastrar usuário + compra de equipamento -[LOCATION]13362
10745,Konto wird immer wieder gesperrt
4504,Is it possible to download Power BI Desktop?
1112,[TICKET ID] - A Support Ticket was forwarded to your role  - URL
2969,Change[LOCATION]Entry[LOCATION]FirewallChange[LOCATION]Entry[LOCATION]Firewall
6246,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.
1127,[TICKET ID] - New Support Ticket received  - [Light House] [SERVER]
6258,Acces au [COMPANY] Interne
6443,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad
1983,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1558,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION])
1524,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
9654,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Vigilant  Company: [COMPANY]  Department: [ADDRESS] [ADDRESS] 2 KM – [ADDRESS] Rural.  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 22 2018  3:00AM     Additional information:
3678,Mailbox von [NAME] als Shared Mailbox weiterhin bestehen lassen
997,[TICKET ID] - New Support Ticket received  - Acesso
1534,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. BRLM)
7391,Initiated by GIT: Missing connection to all security tools on [SERVER]
8655,Login to Citrix for[LOCATION]and [NAME]
13919,The user [NAME] @[URL] domain mailbox
1785,Shared Mailbox Access - [TICKET ID] - [EMAIL]
1791,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1224,[TICKET ID] - New Support Ticket received  - Problema no recebimento dos e-mail do [EMAIL]
1319,[TICKET ID] - A Support Ticket was forwarded to you  - Send as delegate 
2270,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
899,[TICKET ID] - New Support Ticket received  - Desbloqueio de Celular
8672,Zugriffsberechtigungen IT-Servicedesk Postfach für [NAME]
1649,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
11510,Ads Slide in from the side and need to be stopped.
889,[TICKET ID] - New Support Ticket received  - Mensagem
1131,Instalar e-mail na impressora para digitalizações
661,[TICKET ID] - A Support Ticket was forwarded to your role  -  Zugriff Shared Mailbox - [NAME] [EMAIL] auf ITCC
7380,File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:                     J:/INS-DV              Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:
602,[TICKET ID] - A Support Ticket was forwarded to your role  - Mail Blockierung?
1819,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1072,[TICKET ID] - New Support Ticket received  - Mcafee
7468,E-mail do sac
1180,[TICKET ID] - New information received on closed ticket  - Documents not scanning from copier to email
1206,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN
1287,[TICKET ID] - New Support Ticket received  - Citrix not working and need Nautilus 9.3 on PC and installed as Citrix app
5511,Printer Access
2204,File Share Access - [TICKET ID] - [NAME] ([COMPANY] [LOCATION])
6647,Acesso à Pasta de Rede
2147,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2003,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
1415,[COMPANY] list of employees in e-mails is not complete
11375,Basis User - [TICKET ID] - [USERNAME] ([COMPANY])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  958302  Company:  [COMPANY][LOCATION] Department:  CE-PRL-[ADDRESS]-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 8340 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY])     Desired date:  Jan  1 2019 12:00AM     Additional information:
1887,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
726,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])
1630,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
2197,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1278,[TICKET ID] - New Support Ticket received  - T&C Cellular Signal 
8667,[SERVER] - Outdated McAfee Agent
1642,(2020011813239) Verizon Initial Notification
833,[TICKET ID] - New Support Ticket received  - Instalação de software
1916,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
275,Matrix update stalled
2092,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION])
6293,Kommandozeile basierte Ablegen von Daten aus dem Netzwerk in einem S3 bucket
9333,Initiated by GIT: Missing connection to all securitytools on system [SERVER]
7579,File Share Access - [TICKET ID] -[LOCATION]ServiceService Request: File Share Access     Grant access to file share for the following user:  [NAME] (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  //[SERVER]/[COMPANY]/[COMPANY] Berichte/     Requestor: [NAME] (EXTERNAL. [LOCATION])  Comment:  Used for exchanging [SOFTWARE] Import files
2227,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
2368,Restore AD object [NAME]
1854,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
2282,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
3761,Liberação de acesso a planilha
1699,File Share Access - [TICKET ID] - [NAME] ([COMPANY])
1987,File Share Access - [TICKET ID] - [NAME] ([COMPANY])
2081,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
1496,File Share Access - [TICKET ID] [NAME] ([COMPANY]A. [LOCATION])
1181,[TICKET ID] - A Support Ticket was forwarded to you  - UPN/email ID change
2089,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
8513,Initiated by GIT: Missing connection to all securitytools on system [SERVER]
3947,The user [USERNAME] need @[USERNAME] mailbox
7022,Remove File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:       Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:  Hallo Zusammen. bitte den Zugriff auf Laufwerk J: Groups:  ZET-PW für mich entfernen lassen ! Danke und Gruß
13861,The following system must be set to End Of Life in Nexthink:  [SERVER]  -Automated ticket creation-The following system must be set to End Of Life in Nexthink:  [SERVER]
1881,Shared Mailbox Access - [ADDRESS] - [EMAIL]
11551,Externen Kontakt im AD anlegen
1958,Create Shared Mailbox - [EMAIL] -[LOCATION]HR
862,[TICKET ID] - New Support Ticket received  - Wifi Request
1151,[TICKET ID] - New Support Ticket received  - Need installation of a new mobile phone- blackberry. Okta. mobile pass
1563,Shared Mailbox Access - [ADDRESS] - [EMAIL]
1553,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1368,[TICKET ID] - New Support Ticket received  - Skype Not Working
1559,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
11304,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]   Cost Center: 47046  Function: Development Lead & Integration Manager for[LOCATION] Company: [COMPANY][LOCATION] Department: GIT-[ADDRESS]  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  9 2019 12:00AM     Additional information:
1710,Delete Shared Mailbox - [TICKET ID] - [EMAIL] ([COMPANY]-[PASSWORD]. [LOCATION])
1895,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
1840,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
47,Printer at my desk is hesitating when printing
2074,File Share Access - [TICKET ID] - [ADDRESS][COMPANY]. [LOCATION])
1541,Acceso carpeta Produccion en Z
2429,Edit Rechte auf AD Gruppe: [SERVER]_Publishing Bitte[LOCATION]Rechte für die User-Pflege auf die folgende AD-Gruppe erteilen:  [SERVER]_Publishing
4462,File Share Access - [TICKET ID] - [USERNAME]. Dirk ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/MBCALC     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
1897,Shared Mailbox Access - [TICKET ID] - [EMAIL]
2135,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
3292,ACESSO EMAIL URGENTE
7186,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  [URL]     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  MA Turetzek Hard- and Software Lieferung ins Erdgeschoss der Villa.   Unsere temporäre Kollegin Birgit Turetzek benötigt vom 01.02. bis 30.04.2019 ein Notebook Leihgerät.[LOCATION]User fürs P01 incl. Logistikberechtigungen. Microsoft Anwendungen wie Outlook. Excel. Word und Zugriff auf das Laufwerk [URL]  Vielen Dank
1427,SR290606 Leaving employee: The user [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 02;01;2018
2637,Instalacao impressora EPSON L3150
4764,Check the mailbox
1709,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION])
1133,[TICKET ID] - New Support Ticket received  - problemas para imprimir pedidos
1458,check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN
2122,File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION])
1824,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL]
2273,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]. [NAME] ([COMPANY]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    j:/MAZ-Guests/2018_Bernal/       [NAME]       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
8799,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/MarkerDB       The user needs access to the Marker Database.   Thanks        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:
2272,Shared Mailbox Access - [TICKET ID] - [EMAIL]
1395,[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [SERVER]
1648,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
9535,OKTABom dia      Gostaria de excluir o okta do meu antigo celular para poder configurar e logar pelo celular novo.      Obrigado
2275,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])
550,[TICKET ID] - A Support Ticket was forwarded to your role  - Create[LOCATION]entry [COMPANY]up.ads.dir
7955,ATA activity
2579,Unable to send mail to user
